Stop Number,Total Routes,Description,Route 1,Route 2,Route 3,Route 4,Route 5,Route 6,Route 7,Route 8,Route 9,Route 10,Route 11,Route 12,Route 13
13681,1,Avalon Ave & La Grande Ave,54
13680,1,Avalon Ave & La Grande Ave,54
13682,1,Avalon Ave & Peru Ave,54
17004,1,Avenue B & 9th Ave,25
13670,1,Avenue B & Gateview Ave,25
17558,0,Avenue H & 13th St
13686,1,Bacon St & Girard St,54
13685,1,Bacon St & Girard St,54
13687,1,Bacon St & Goettingen St,54
13688,1,Bacon St & Goettingen St,54
13019,0,Bacon St & San Bruno Ave
13018,0,Bacon St & San Bruno Ave
13020,1,Bacon St & Somerset St,54
13021,1,Bacon St & Somerset St,54
13023,2,Baker Beach Parking Lot Sw,29,29
13024,1,Baker St & Greenwich St,45
15418,0,Balboa Park BART/Mezzanine Level
13039,3,Balboa St & 10th Ave,31,31,31
13038,1,Balboa St & 10th Ave,31
13041,3,Balboa St & 12th Ave,31,31,31
13040,1,Balboa St & 12th Ave,31
13044,3,Balboa St & 17th Ave,31,31,31
13043,1,Balboa St & 17th Ave,31
13046,3,Balboa St & 19th Ave,31,31,31
13045,1,Balboa St & 19th Ave,31
13048,3,Balboa St & 21st Ave,31,31,31
13047,1,Balboa St & 21st Ave,31
13049,1,Balboa St & 23rd Ave,31
13050,3,Balboa St & 23rd Ave,31,31,31
13052,3,Balboa St & 25th Ave,31,31,31
13051,1,Balboa St & 25th Ave,31
13053,1,Balboa St & 28th Ave,31
13054,3,Balboa St & 28th Ave,31,31,31
13055,1,Balboa St & 30th Ave,31
13056,3,Balboa St & 30th Ave,31,31,31
13057,1,Balboa St & 32nd Ave,31
13058,3,Balboa St & 32nd Ave,31,31,31
13059,5,Balboa St & 34th Ave,18,31,18,31,31
13060,2,Balboa St & 35th Ave,18,31
13061,2,Balboa St & 37th Ave,18,31
13062,5,Balboa St & 37th Ave,18,31,18,31,31
13063,2,Balboa St & 40th Ave,18,31
13064,5,Balboa St & 40th Ave,18,31,18,31,31
13065,2,Balboa St & 43rd Ave,18,31
13066,5,Balboa St & 43rd Ave,18,31,18,31,31
13032,1,Balboa St & 4th Ave,31
13033,3,Balboa St & 4th Ave,31,31,31
13035,0,Balboa St & 6th Ave
13034,0,Balboa St & 6th Ave
13036,1,Balboa St & 8th Ave,31
13037,3,Balboa St & 8th Ave,31,31,31
13067,1,Balboa St & Arguello Blvd,31
13070,1,Balboa St & Park Presidio Blvd,31
13071,3,Balboa St & Park Presidio Blvd,31,31,31
17313,1,Bayshore Blvd & Alemany Blvd,23
13771,3,Bayshore Blvd & Alemany Blvd,90,9,9
17399,2,Bayshore Blvd & Areta Ave,T,T
13772,4,Bayshore Blvd & Arleta Ave,8AX,8,TBUS,8BX
13773,3,Bayshore Blvd & Augusta St,90,9,9
17395,1,Bayshore Blvd & Blanken Ave,T
17334,2,Bayshore Blvd & Blanken Ave,TBUS,8BX
13775,2,Bayshore Blvd & Boutwell St,90,9
13779,4,Bayshore Blvd & Cortland Ave,90,9,9,9R
13778,3,Bayshore Blvd & Cortland Ave,90,9,9R
17886,4,Bayshore Blvd & Flower St,90,9,23,9R
13781,2,Bayshore Blvd & Hester Ave,TBUS,91
13783,3,Bayshore Blvd & Leland Ave,9,9,9R
18040,1,Bayshore Blvd &L Eland Ave,91
17888,4,Bayshore Blvd & Oakdale Ave,90,9,9,9R
13788,2,Bayshore Blvd & Silver Ave,90,9
13789,3,Bayshore Blvd & Silver Ave,90,9,9
17396,0,Bayshore Blvd & Sunnydale Ave
17398,0,Bayshore Blvd & Sunnydale Ave
13792,2,Bayshore Blvd & Tunnel Ave,TBUS,91
13793,4,Bayshore Blvd & Visitacion Ave,TBUS,9,91,9R
17520,0,Bayshore Blvd & Visitacion Ave
13031,2,Bay St & Midway St,8BX,8
17621,0,Beach St & Divisadero St
13092,5,Beach St & Mason St,LOWL,F,FBUS,LOWL,F
13093,0,Beach St & Polk St
13095,2,Beach St & Stockton St,LOWL,LOWL
13089,6,Beale St & Mission St,30X,7,5R,5,38R,38
17843,1,Bemis St & Addison St,35
13693,1,Bemis St & Addison  St,35
13096,1,Bemis St & Moffitt St,35
13690,1,Bernal Heights Blvd & Bradford St,67
13691,1,Bernal Heights Blvd & Powhattan Ave,67
17577,1,Bernal Heights Blvd & Powhattan St,67
13689,1,Beverly St & Garfield St,29
17006,2,Blanken Ave & Gillette Ave,56,56
17007,2,Blanken Ave & Gillette Ave,56,56
17008,2,Blanken Ave & Nueva Ave,56,56
17009,2,Blanken Ave & Nueva Ave,56,56
17011,2,Blanken Ave & Peninsula Ave,56,56
17010,2,Blanken Ave & Peninsula Ave,56,56
